Cement,Slag,Ash,Water,Superplasticizer,CoarseAggregate,FineAggregate,Days,CompressiveStrength
304.8,0,99.6,196,9.8,959.4,705.2,M,30.12320644
387,20,94,157,13.93,938,845,H,47.96684532
157,236,0,192,0,935.4,781.2,H,43.37700359
251.37,0,118.27,188.45,6.35,1028.4,757.73,L,18.77443148
236,0,0,194,0,968,885,H,21.94602108
349,0,0,192,0,1047,806,L,16.55776614
133,210,0,196,3,949,795,M,31.02642
143,169,143,191,8,967,643,M,29.72331036
401.8,94.7,0,147.4,11.4,946.8,852.1,L,47.59797566
339,0,0,185,0,1069,754,L,21.16001844
190,190,0,228,0,932,670,H,48.40155994
155.2,183.9,143.2,193.8,9.2,879.6,698.5,M,28.99108685
212,141.3,0,203.5,0,973.4,750,M,33.00383717
166.09,0,163.27,176.46,4.49,1058.6,780.09,M,21.53923024
424,22,132,168,8.92,822,750,H,74.36491146
181.38,0,167.01,169.59,7.56,1055.6,777.8,L,17.61266442
252.31,0,98.75,146.25,14.17,987.76,889.01,L,32.03650234
389.9,189,0,145.9,22,944.7,755.8,L,49.84566742
160,128,122,182,6.4,824,879,M,39.39665864
427.5,47.5,0,228,0,932,594,M,37.42751518
213.74,0,174.74,154.79,10.16,1053.5,776.35,M,40.14818748
374.3,0,0,190.2,6.7,1013.2,730.4,M,39.0560575
288.4,121,0,177.4,7,907.9,829.5,M,42.14008364
164.6,0,150.4,181.6,11.7,1023.3,728.9,M,18.03393426
